entity_id,entity_type,name,path,description,url,created_at,updated_at,metadata_json
"project_67567979","project","ready-release","atlas-datascience/lion/predecessor/core/infrastructure/ready-release","","https://gitlab.com/atlas-datascience/lion/predecessor/core/infrastructure/ready-release","2025-02-28T14:27:18.644Z","2025-02-28T14:27:18.644Z","{""id"":67567979,""name"":""ready-release"",""path"":""atlas-datascience/lion/predecessor/core/infrastructure/ready-release"",""namespace"":""atlas-datascience/lion/predecessor/core/infrastructure"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67567925","project","magic","atlas-datascience/lion/predecessor/core/catalog/apis/magic","","https://gitlab.com/atlas-datascience/lion/predecessor/core/catalog/apis/magic","2025-02-28T14:25:06.390Z","2025-02-28T14:25:06.390Z","{""id"":67567925,""name"":""magic"",""path"":""atlas-datascience/lion/predecessor/core/catalog/apis/magic"",""namespace"":""atlas-datascience/lion/predecessor/core/catalog/apis"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545996","project","proxy-streamer","atlas-datascience/lion/predecessor/core/data-out/proxy-streamer","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-out/proxy-streamer","2025-02-27T20:23:59.932Z","2025-02-27T20:23:59.932Z","{""id"":67545996,""name"":""proxy-streamer"",""path"":""atlas-datascience/lion/predecessor/core/data-out/proxy-streamer"",""namespace"":""atlas-datascience/lion/predecessor/core/data-out"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545922","project","unbundler","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/unbundler","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/unbundler","2025-02-27T20:20:03.235Z","2025-02-27T20:20:03.235Z","{""id"":67545922,""name"":""unbundler"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/unbundler"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545912","project","product-manager","atlas-datascience/lion/predecessor/core/data-out/product-manager","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-out/product-manager","2025-02-27T20:19:18.499Z","2025-02-27T20:19:18.499Z","{""id"":67545912,""name"":""product-manager"",""path"":""atlas-datascience/lion/predecessor/core/data-out/product-manager"",""namespace"":""atlas-datascience/lion/predecessor/core/data-out"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545905","project","bundler","atlas-datascience/lion/predecessor/core/data-out/bundler","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-out/bundler","2025-02-27T20:18:44.961Z","2025-02-27T20:18:44.961Z","{""id"":67545905,""name"":""bundler"",""path"":""atlas-datascience/lion/predecessor/core/data-out/bundler"",""namespace"":""atlas-datascience/lion/predecessor/core/data-out"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545835","project","order-manager","atlas-datascience/lion/predecessor/core/data-out/order-manager","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-out/order-manager","2025-02-27T20:14:01.182Z","2025-02-27T20:14:01.182Z","{""id"":67545835,""name"":""order-manager"",""path"":""atlas-datascience/lion/predecessor/core/data-out/order-manager"",""namespace"":""atlas-datascience/lion/predecessor/core/data-out"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545829","project","s3object-streamer","atlas-datascience/lion/predecessor/core/data-out/s3object-streamer","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-out/s3object-streamer","2025-02-27T20:13:42.738Z","2025-02-27T20:13:42.738Z","{""id"":67545829,""name"":""s3object-streamer"",""path"":""atlas-datascience/lion/predecessor/core/data-out/s3object-streamer"",""namespace"":""atlas-datascience/lion/predecessor/core/data-out"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67545824","project","dissemination-proxy","atlas-datascience/lion/predecessor/core/data-out/dissemination-proxy","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-out/dissemination-proxy","2025-02-27T20:13:18.581Z","2025-02-27T20:13:18.581Z","{""id"":67545824,""name"":""dissemination-proxy"",""path"":""atlas-datascience/lion/predecessor/core/data-out/dissemination-proxy"",""namespace"":""atlas-datascience/lion/predecessor/core/data-out"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67431931","project","geopdf-extraction","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/inventory-enhancement/extraction/geopdf-extraction","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/inventory-enhancement/extraction/geopdf-extraction","2025-02-24T20:16:10.087Z","2025-02-24T20:16:10.087Z","{""id"":67431931,""name"":""geopdf-extraction"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/inventory-enhancement/extraction/geopdf-extraction"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/inventory-enhancement/extraction"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
